thread_id,message_text,true_intent,predicted_intent,intent_mismatch,should_escalate,predicted_escalate,escalation_mismatch,escalation_error_type,classifier_confidence,predicted_reason,drafted_reply,retrieved_thread_ids
thread_2637022,@Uber_Support But it was open earlier because I checked....?,,Ride & Pickup Issue,True,escalate,escalate,False,none,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"We apologize for the inconvenience you're experiencing with your app not opening. Unfortunately, our previous responses suggest that we don't have the capability to assist with app-related issues. However, a support specialist will review your case and get back to you as soon as possible.",thread_2133421;thread_1772713;thread_2624522
thread_384104,@Uber_Support My issue is still not resolve,,App & Technical Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"Hi Olivia, I've reviewed your issue and I'm happy to help. A support specialist will review your case and get back to you as soon as possible. We'll do our best to resolve the issue with payments and ensure that you're able to complete trips without any issues. Please DM us with your account email so we can look into this further.",thread_1255730;thread_462626;thread_1959138
thread_2730523,@Uber_Support I'm good. Just know you lost a customer.,,Lost & Found,True,escalate,escalate,False,none,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"We apologize for the inconvenience you've experienced with your lost phone and the subsequent issues with support. We understand that our previous attempts to follow up via DM and email may not have been effective in this situation. We acknowledge that our team's efforts, although well-intentioned, may not have fully addressed your concerns.

We would like to request that you provide us with your Uber email address and phone number so that we can review your account and trip history. This will enable us to better understand the situation and provide a more suitable solution. A support specialist will review your case and respond with a more personalized and effective resolution.",thread_2932317;thread_1392089;thread_2769113
thread_859680,@Uber_Support please please please just call me,,App & Technical Issue,True,escalate,escalate,False,none,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"""Hi, I'm happy to help you with your issue. Can you please send us a note via this link https://t.co/xMxswVLBKT so our team can connect and assist you further?""",thread_1110847;thread_242227;thread_2162575
thread_2827699,@Uber_Support That’ll be great. Thanks.,,Promotions & Discounts,True,auto-handle,escalate,True,over-escalation,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"We appreciate your enthusiasm for our services. However, we can't guarantee that a rebranding to ""Uber 5X"" would address the issues you mentioned. We'll review your account details to see if there's an issue with your credit card. Please DM us with your email address associated with your account and a screenshot of any error messages you're receiving.",thread_15331;thread_1798396;thread_773078
thread_796461,@16975 @115873  https://t.co/4Flbww2woA,,Fare & Pricing Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"Hi @16975, I've reviewed your issue and it seems like you're experiencing a fare and pricing concern. I recommend sending a note via this link https://t.co/lqVgKo4ZO3 so our team can follow up and assist you further.",thread_1245026;thread_619615;thread_2311036
thread_1392485,@Uber_Support I did !,,Fare & Pricing Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"Hi, I'm here to help. Can you please send us a note at https://t.co/593jusCquh so our team can connect and look into your issue with the outstanding balance and refund?",thread_2509450;thread_1270583;thread_1174012
thread_562395,"@Uber_Support I cant as it wasnt on my account, it was a friends.",,Account & Login,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear about the issue with your friend's account. Given our previous conversation about needing to speak directly to the account holder, I'd like to request that you have your friend contact us via DM so we can follow up on their issue. We'll do our best to assist them.""",thread_660550;thread_1801640;thread_1021721
thread_1234810,@Uber_Support I have filled the details.  Haven't heard from uber yet,,Ride & Pickup Issue,True,escalate,escalate,False,none,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"""Hi, thank you for reaching out to us. We've received your message and will follow up on your inquiry as soon as possible. Our team will review your case and get back to you with an update. If you haven't heard from us within the next 24 hours, a support specialist will review your issue and be in touch with you.""",thread_123136;thread_1080498;thread_671375
thread_889605,@Uber_Support nothing new,,Lost & Found,True,escalate,escalate,False,none,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"""Hi Paige, we'd be happy to look into your issue with the $5 off 4 rides promo not being applied. Please send us a note at https://t.co/YpFkTpQXDC so we can connect and assist you further.""",thread_710679;thread_1781405;thread_2237881
thread_601789,@Uber_Support Can I have some one In Pakistan ??,,Lost & Found,True,auto-handle,escalate,True,over-escalation,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"Hi @Uber_Support, I'm having trouble finding a way to get in touch with someone in Pakistan. Can you please direct me to a contact or provide a phone number for a support specialist who can assist me with this issue?",thread_1665864;thread_997265;thread_428775
thread_2891182,@Uber_Support I have ..,,Fare & Pricing Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear about the trouble with your recent Uber experience. I've reviewed the historical conversation and understand your frustration. I'm going to escalate this issue to a support specialist who will review your case and provide a more detailed resolution. Please keep an eye on your DMs for further updates.""",thread_997265;thread_428775;thread_1512249
thread_1633284,1x I ordered @115877 and the driver called me to come outside! I was appalled! My app says food delivered to my door not the parking lot,UberEATS Order Issue,Ride & Pickup Issue,True,auto-handle,auto-handle,False,none,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"Hi, I'm here to help with your issue. I've reviewed your order @115877 and the driver's actions. It seems that the driver's behavior has caused concern, as you mentioned. I'd like to look into this further. Can you please send me a note via https://t.co/kOYvdOvyd0 so our team can get in touch and discuss this issue?",thread_1789984;thread_2844529;thread_510466
thread_904735,"Hey @115877, why is it that I can't contact support when my order has been in preparation for 45 minutes?",UberEATS Order Issue,Ride & Pickup Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Hi there, I apologize for the inconvenience you're experiencing with your order. I've reviewed your historical thread and noticed that you've been waiting for over 2 hours for your order to arrive. I'd like to help you further. Can you please DM us your email address on your account and order details so we can follow up on your issue? A support specialist will review your case and get back to you as soon as possible.""",thread_752598;thread_2440979;thread_2809008
thread_2782113,@Uber_Support why this kind of trouble me..???Why not uber will be punished???Why not get additional refund???,Payment & Charges,Safety & Vehicle Concern,True,escalate,escalate,False,none,0.8,Escalated because Safety & Vehicle Concern is a high-risk support category.,"""Hi, I'm happy to help with your concern. I've reviewed our previous conversations and understand that you're upset about a recent experience. I want to assure you that we take safety and vehicle concerns seriously. However, I don't see any evidence of a specific incident where you were cancelled on after waiting. Can you please provide more details about what happened, such as your trip details and the date of the incident? A support specialist will review your case and get back to you as soon as possible.""",thread_1372845;thread_1736302;thread_2186107
thread_2806743,@115877 we have Ubereats our McDonald's accepts them but they do not show up as a selection. ..why?,UberEATS Order Issue,Promotions & Discounts,True,auto-handle,escalate,True,over-escalation,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"Hi @115877, I've reviewed your concern about UberEats not showing up as a selection on our McDonald's menu. I'd like to help you with this issue. Can you please send us a DM with your order details and any previous interactions with our support team? A support specialist will review your case and get back to you as soon as possible.",thread_2467287;thread_1198614;thread_1596769
thread_2798522,"That’s the first I’ve heard of the Uber incident so no, it’s not in @107441. It would also only add 1.2% more data...",,App & Technical Issue,True,escalate,escalate,False,none,0.0,Escalated because classifier confidence (0.00) is below 0.60.,I apologize for the inconvenience you're experiencing. I'd be happy to help you with your issue. Can you please send me a DM with your email address so I can assist you further? I'll do my best to look into the matter and provide a resolution.,thread_2122643;thread_232609;thread_416444
thread_2379053,@115873 please fix my account issue. Sick of customer service delay. Mobile number +1 470-328-4007,Account & Login,Account & Login,False,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"Hi @115873, I've reviewed your message and the historical threads. It seems we've already responded to your concerns. A support specialist will review your issue and get back to you as soon as possible.",thread_2758295;thread_308630;thread_648603
thread_270406,"@115877 I never revived my food, and had a SUPER RUDE delivery, where he said I got my food, and you guys haven't contacted me yet! Grr",UberEATS Order Issue,Safety & Vehicle Concern,True,escalate,escalate,False,none,0.8,Escalated because Safety & Vehicle Concern is a high-risk support category.,"""Sorry to hear that you're having issues with your food delivery. Can you please send us a DM with your order number and a note about the issue, so we can look into this further? Our team will review the situation and provide a resolution as soon as possible.""",thread_2364924;thread_1602025;thread_1109414
thread_1428654,@115877 can you please sort out your app so I can order my food!!!!!!!!! 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️,UberEATS Order Issue,App & Technical Issue,True,auto-handle,auto-handle,False,none,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"@115877, I'm here to help. Can you please send us a note via https://t.co/kOYvdOvyd0 so our team can get in touch with your issue?",thread_2844529;thread_2975041;thread_951075
thread_2112993,@115877 If you're gonna start putting leaflets into people's letterboxes. Make sure your bloody website works. You can't even order!,UberEATS Order Issue,App & Technical Issue,True,auto-handle,auto-handle,False,none,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,We're sorry to hear that you're experiencing issues with our website and ordering process. Can you please DM us your account information so our team can review the issue and provide assistance?,thread_60346;thread_1916669;thread_231267
thread_2954602,"Hey @115873 got my flat fares email but when I click on the link to purchase, there is no option to do so...help!!! https://t.co/QvSxo1xI54",Promotions & Discounts,Fare & Pricing Issue,True,auto-handle,auto-handle,False,none,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"Hi @115873, I'm here to help. Can you please DM us with your email address so we can look into the issue with the flat fares link not working for you? We'll do our best to assist you.",thread_2954627;thread_2516127;thread_1313474
thread_2976083,Bullshit @115873 Thanks for ruining my evening plans. How can app ETA be SO wrong compared to apple maps??? Could’ve walked quicker https://t.co/TrDxZ8PM2u,App & Technical Issue,App & Technical Issue,False,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that our app's ETA was incorrect and caused inconvenience. We'll review our mapping data to ensure accuracy. In the meantime, if you'd like to report any issues or provide feedback, please fill out the form at https://t.co/qwC2Ca12oI and a member of our team will be in touch as soon as possible.""",thread_381449;thread_2397339;thread_1096800
thread_2057316,Week 2 and I got to meet some of the awesome #drivers who make @115873 what it is. Lots of honest feedback and even more opportunity! https://t.co/flv8heNGOV,,Promotions & Discounts,True,auto-handle,escalate,True,over-escalation,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"We're glad you're enjoying the experience with some of our drivers! We strive to provide a great service, and it's great to hear that you're meeting some amazing individuals. If you're looking for more opportunities to connect with our drivers, we can provide you with more information on how to do so. Would you like us to DM you with some tips on how to get the most out of your experience?",thread_1240253;thread_349156;thread_171836
thread_2294391,My @115873 driver has the same sat nav as me. How can he drive past me 4 times in 10 mins when I am stood outside the SF Caltrain station?!,Driver Issue,Safety & Vehicle Concern,True,auto-handle,escalate,True,over-escalation,0.8,Escalated because Safety & Vehicle Concern is a high-risk support category.,We apologize for the inconvenience you've experienced with your driver's navigation. We understand that following a sat nav is a basic expectation for a safe ride. We'll review your case and reach out to you via the provided link to discuss possible solutions.,thread_231267;thread_2269826;thread_2145778
thread_1815312,Trying to get help from @Uber_Support is almost impossible. 10 hours and no one has reached out?!,,App & Technical Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you're having trouble reaching us. Our team is here to help. Can you please try checking your app for any in-app support messages we may have sent? If you're still having issues, a support specialist will review your case and get back to you as soon as possible.""",thread_2363405;thread_2417904;thread_1435129
thread_1626295,@Uber_Support just been charged for a uber i ordered but the guy was doing loops on the map. I had to cancel and get the bus. I want refund,Payment & Charges,Ride & Pickup Issue,True,auto-handle,auto-handle,False,none,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you had a disappointing experience with your Uber ride. We'll review your case and look into a possible refund. Can you please send us a note at https://t.co/lyqXfbVdYK so our team can connect and assist you further?""",thread_2206319;thread_80895;thread_796663
thread_1821916,@Uber_Support  really disappointed wid your service n even reported no response frm ur side..booked uber frm 8669020552,,Fare & Pricing Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you're disappointed with your experience. We'll review your case and follow up with a support specialist who will look into the issue. Please DM us with your email address associated with your account so we can assist you further.""",thread_289205;thread_534591;thread_968777
thread_1833563,@Uber_Support .I attached my issue as a image here. Plz help me if anyone from Uber will be able to solve. Plz don't send me a link. https://t.co/UOY8ecuwIB,,App & Technical Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Thank you for reaching out to us. We've reviewed your issue and would like to assist you further. Please send us a Direct Message with your Uber account email address and phone number so our team can help you resolve the issue. We'll be happy to guide you through the process.""",thread_918343;thread_1435129;thread_801149
thread_2071675,"@Uber_Support extremely rude abusive driver, refused pick up. Not cancelling. I m sick of your service. @116288 https://t.co/MPuHybR8GB",Driver Issue,Driver Issue,False,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you're experiencing a frustrating situation with an Uber driver. We understand that waiting for more than 15 minutes for a pickup and being refused service can be unacceptable. We'll review your case and send a note to our support team to assist you. Please send us a note via https://t.co/e8HVorX5rh so we can look into this further.""",thread_2756874;thread_2186015;thread_1117179
thread_663963,@115877 You guys really hired a driver who couldn't even find the restarting I ordered from. that's the whole point of uber eats and now I have to wait 3-5 days for a refund u guys suck.,UberEATS Order Issue,UberEATS Order Issue,False,auto-handle,escalate,True,over-escalation,0.0,Escalated because classifier confidence (0.00) is below 0.60.,We apologize for the inconvenience you're experiencing with your Uber Eats order. We're here to help. Can you please DM us with your order number and a brief description of the issue so we can assist you further?,thread_2171815;thread_13234;thread_1207638
thread_441669,"@115877 the @McDonalds at Hialeah Park is going to be costing you quite the amount of money in the near future, seeing as this is the SIXTH time they have given me the wrong item. I will never order from that restaurant again and I will need you to resolve this issue.",UberEATS Order Issue,Fare & Pricing Issue,True,escalate,escalate,False,none,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"""@115877 Sorry to hear about the repeated issues with your orders at the Hialeah Park @McDonalds. We'll review your concerns and reach out to you via DM to discuss possible solutions. A support specialist will be in touch with you shortly.""",thread_1380770;thread_433700;thread_1623457
thread_2794435,"@115873 having these pool drivers look a mess. They have been getting two stars from me this week and I DO NOT care. Too many extra ass stops out of the damn way, going the wrong way when it's your turn to get dropped off.",Driver Issue,Driver Issue,False,auto-handle,escalate,True,over-escalation,0.0,Escalated because classifier confidence (0.00) is below 0.60.,We apologize for the inconvenience you're experiencing with your @115873 pool drivers. We can take a look into this issue. Please send us a note via https://t.co/jP6giifgNM so our team can get in touch and assist you further.,thread_1106673;thread_1218431;thread_2680399
thread_2816686,".@150 drivers asking me to cancel rides from the airport three times in a row, with increasingly-fantastical excuses of the “dog ate my homework” realm. Chasing a better rate, I assume. But, hey, it’s not a taxi service.",Driver Issue,Fare & Pricing Issue,True,escalate,escalate,False,none,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"We apologize for the inconvenience you're experiencing with your recent airport rides. It's understandable that you're looking for a better rate, and we're here to help. 

To assist you further, could you please DM us with your account email and trip details so we can review your account and provide a more accurate solution? We'll do our best to address your concerns and provide a more suitable experience for your airport rides.",thread_1817530;thread_548641;thread_2789368
thread_2171780,"@Uber_Support hey there, over the night I received 4 verification codes from Uber that I did not request, and I was no longer able to access my Uber account. I have since changed my password back, but I want to make sure no one has access to my account",Account & Login,Account & Login,False,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"We apologize for the inconvenience you're experiencing with your Uber account. Based on our previous conversations, we recommend that you send us a note here https://t.co/dwDjAokZht so our team can assist you in verifying your account and resolving the issue. We'll review your request and get back to you as soon as possible.",thread_2898191;thread_2229894;thread_1415317
thread_2538520,"@Uber_Support ,@115873 I got the proper mail atleast, I returned with the phone number snapshot and email details but its still nor working. The worst part is on APP help page they are closing the complaint again and again without any response. Please help https://t.co/oGfN4McY38",Account & Login,App & Technical Issue,True,escalate,escalate,False,none,0.8,Escalated because the message contains strong negative or safety-related language.,"""@Uber_Support Thank you for your concern. I've attached a phone number snapshot and email details as requested. Unfortunately, the issue persists. I've noticed a pattern of repeated complaints on the app help page being closed without response. I'd appreciate it if a support specialist could review my case and provide a more thorough resolution. #UberSupport""",thread_1789174;thread_1109256;thread_2855834
thread_2460069,"@Uber_Support @95736 this is how you operate in India... Driver is moving opposite direction once he denied airport destination #lol
1st driver denied and went in opposite direction
2nd driver calls me and laughs about pool to airport
3rd driver reaches at pickup loc #cancel https://t.co/8hsPLGAAlS",Driver Issue,Driver Issue,False,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""@Uber_Support I'm experiencing a similar issue with a driver moving in the opposite direction of my destination. The driver denied the airport destination and then called me laughing about it. I've attached a screenshot of the conversation. I'd like to request assistance with this issue. Please review the thread and let me know the next steps.""",thread_1190930;thread_567953;thread_288550
thread_2727142,@Uber_Support please can someone reply to my emails. My uber driver on friday phoned me to say mobile was left in the car and now isn't replying to any of phone calls/messgaes. I have been without a phone for 3 days now and it is theft! please help me get my phone back,Lost & Found,Safety & Vehicle Concern,True,escalate,escalate,False,none,0.8,Escalated because Safety & Vehicle Concern is a high-risk support category.,"""Sorry to hear that you're experiencing issues with your phone and unable to contact your driver. We've seen cases where drivers have misplaced items in vehicles, and we're here to help. Please send us a note at https://t.co/y4EDPcVZOI so we can look into this for you and try to locate your phone. A support specialist will review your case and get back to you as soon as possible.""",thread_460117;thread_20074;thread_810198
thread_2882279,@1562 @Uber_Support I was overcharged for my non-cash payment. While booking the trip fare was quoted Rs.109 but I had to pay Rs.145 at the end of trip. Please refund excess amount. https://t.co/vcW5FwWRkG,Fare & Pricing Issue,Payment & Charges,True,auto-handle,auto-handle,False,none,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"@1562 @Uber_Support We apologize for the inconvenience you've experienced with the overcharged fare. Our historical records show that we have a process in place for handling such issues, as seen in our previous interactions with customers who have raised similar complaints. We recommend that you send us a DM (direct message) with your account email and phone number so we can look into this matter further.",thread_1585224;thread_701834;thread_718617
thread_2920570,"@115873 @119983
Uber has seriously gone mad. It is assigning cabs those are still on ride and cab those are more than 10 km away from pickup point having huge wait time. Drivers refuse to cancel such rides resulting in penalty to the commuter. 
Nice way to bfool customer",Ride & Pickup Issue,Fare & Pricing Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you're experiencing issues with your Uber ride. We understand that this can be frustrating, especially when drivers refuse to cancel trips or go to certain locations. We'll review your case and get back to you as soon as possible. A support specialist will be in touch with you via DM to gather more information and provide a resolution. Please allow a few hours for our team to review your issue.""",thread_796663;thread_2826022;thread_2769840
thread_2177615,"@Uber_Support Please, I need your help to add a new card in the payment mode. Uber Brazil just answered me they couldn't do anything and they just copy and paste the same answer many times. The worst experience ever. Please help me to keep using your app.",Payment & Charges,Account & Login,True,escalate,escalate,False,none,0.8,Escalated because the message contains strong negative or safety-related language.,"""Sorry to hear you're having a frustrating experience with adding a new card in the payment mode. We're here to help. Can you please DM us with your email address so we can assist you with this issue? We'll review your account and get back to you as soon as possible. If you have any further questions or concerns, feel free to follow up here: https://t.co/sd7yH5jmbJ""",thread_2790717;thread_1226657;thread_1485807
thread_2984666,"@Uber_Support Please help. Took an Uber from West Edmonton Mall 30 mins ago. Booked two stops. Got out to walk my gf to her door at first stop, within seconds driver took off with my bag. I have his name. I need help asap. Please respond",Lost & Found,Driver Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you're experiencing an issue with your Uber ride. We'll do our best to assist you. Please send us a DM with your email address so we can connect and review your case. We'll look into what happened and see how we can help.""",thread_2385377;thread_1340928;thread_2458799
thread_2479164,@115873 I just realized I got charged for missing my Uber pool when the driver wasn’t even at the designated stop.  Not to mention the driver couldn’t/wouldn’t meet me where I needed to be picked up at. #uberproblems #driverflaked,Ride & Pickup Issue,Driver Issue,True,auto-handle,auto-handle,False,none,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you were charged for a ride that didn't happen. Our team will review your case and look into the issue. Please send us a note at https://t.co/h840Iouehc so we can assist you further. A support specialist will review your account and get back to you as soon as possible.""",thread_1462938;thread_658083;thread_1631568
thread_2609401,"@Uber_Support WTF?! I NEED to contact someone w/in UBER yet half your sites are down, there's no CS line listed anywhere and no driver info on most recent ride. Dude has my phone. HOW IS THIS A THING????",Lost & Found,App & Technical Issue,True,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you're experiencing issues with your recent Uber ride. I'd be happy to help you get in touch with your driver. Please send us a note via this link https://t.co/kGIXas5Cxg so we can assist you further. A support specialist will review your issue and get back to you as soon as possible.""",thread_20074;thread_2868777;thread_1275190
thread_2487367,"@115873 @Uber_Support check below images why u making fool.last time ur rider denied d duty first than he come it's not my fault why u take extra charge from me in today ride,don't make fool with this @118341 @133052 @1143 ,plz revert my money in wallet https://t.co/5gw8vzWP93",Payment & Charges,Payment & Charges,False,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""@115873 @Uber_Support We've received your concern about the extra charge for your recent ride. Our team has reviewed the issue and will be in touch with you via the provided DM link to discuss a possible refund. Please allow a few hours for our team to follow up. If you haven't heard back, a support specialist will review your case.""",thread_45616;thread_2806726;thread_2584470
thread_2344050,@Uber_Support Sent an email two weeks ago about having issues signing in with a new number and haven’t heard anything. Why are there no ways to verify my identity and change my number on my own? Such bullshit.,Account & Login,Account & Login,False,escalate,auto-handle,True,under-escalation,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Thank you for reaching out to us about the issues you're experiencing with signing in and changing your number. I've reviewed your previous message and the historical threads you've shared. Unfortunately, it appears that our current process for verifying identity and changing numbers requires assistance from our support team. I recommend sending us a DM with your email address so we can connect and provide further assistance. A support specialist will review your case and get back to you as soon as possible.""",thread_14342;thread_123136;thread_535301
thread_443131,@Uber_Support there’s no such option where i can leave a note regarding my address issue please kindly help.. cos of this issue i get late always to as i have to guide the drivers to the exact locations and my time is wasted there,App & Technical Issue,Ride & Pickup Issue,True,auto-handle,auto-handle,False,none,0.8,Auto-handled because confidence is at least 0.60 and no explicit escalation rule matched.,"""Sorry to hear that you're experiencing issues with your address and it's affecting your pickup times. I'd be happy to help you with this. Please DM us your email address and issue details so we can follow up and look into this further. We'll do our best to resolve the issue and minimize any further delays.""",thread_874563;thread_2610792;thread_1959138
thread_2194049,"@Uber_Support I signed up to be a driver, I have to get a business license tried to get one but stated that I need a letter from Uber? Can you shed light on this please, thank you https://t.co/RBkNoKg47L",Account & Login,Account & Login,False,auto-handle,escalate,True,over-escalation,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"Hi, I'm here to help. To get started, could you please send us a note at https://t.co/XJy0wStLEj so we can connect and discuss your business license requirements?",thread_123136;thread_2701151;thread_502612
thread_583010,"@115873 @Uber_Support @119983 says promo applied and then later it says error while booking, in first place who asked you to give me an offer and then later why to say error it is very poor marketing https://t.co/GhbnR85Euu",Promotions & Discounts,Promotions & Discounts,False,auto-handle,escalate,True,over-escalation,0.0,Escalated because classifier confidence (0.00) is below 0.60.,"""Sorry to hear that you're experiencing issues with your promo and error messages. We'll review your account and look into this further. Can you please DM us with your email address associated with your account and a screenshot of the error, so we can assist you better? We'll do our best to resolve this issue for you.""",thread_1798396;thread_2256025;thread_710679
